City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Inuvik,CA,2021-12-10 17:33:54,68.3499,-133.7218,-1.34,78,20,4.61,few clouds
60,Naze,JP,2021-12-10 17:29:42,28.3667,129.4833,62.76,64,16,7.25,few clouds
61,Caravelas,BR,2021-12-10 17:39:41,-17.7125,-39.2481,73.08,87,98,5.5,overcast clouds
62,Punta Arenas,CL,2021-12-10 17:41:18,-53.15,-70.9167,62.71,36,0,11.5,clear sky
63,Hamilton,US,2021-12-10 17:37:26,39.1834,-84.5333,57.42,84,90,1.01,overcast clouds
64,Biloxi,US,2021-12-10 17:40:51,30.396,-88.8853,80.6,46,75,10.36,broken clouds
65,San Patricio,US,2021-12-10 17:32:43,28.017,-97.5169,87.89,56,23,23.04,few clouds
66,Nikolskoye,RU,2021-12-10 17:33:50,59.7035,30.7861,11.8,82,84,10.63,broken clouds
67,Komsomolskiy,UZ,2021-12-10 17:41:20,40.4272,71.7189,35.02,80,56,4.61,mist
68,San Francisco,US,2021-12-10 17:41:12,37.7749,-122.4194,53.89,67,20,1.01,few clouds
69,Roald,NO,2021-12-10 17:39:45,62.5833,6.1333,36.34,60,0,10.36,clear sky
70,Hermanus,ZA,2021-12-10 17:41:21,-34.4187,19.2345,67.89,89,48,10.8,scattered clouds
71,Sao Joao Da Barra,BR,2021-12-10 17:41:21,-21.6403,-41.0511,82.49,73,12,12.12,few clouds
72,Valley City,US,2021-12-10 17:36:30,46.9233,-98.0032,27.59,82,100,4.76,overcast clouds
73,Kruisfontein,ZA,2021-12-10 17:36:53,-34.0033,24.7314,72.88,89,25,1.36,scattered clouds
74,Cavarzere,IT,2021-12-10 17:41:22,45.1356,12.0817,44.06,81,100,11.27,overcast clouds
75,Ushuaia,AR,2021-12-10 17:41:23,-54.8,-68.3,55.06,62,40,13.8,light rain
76,Iqaluit,CA,2021-12-10 17:41:24,63.7506,-68.5145,4.73,66,75,12.66,broken clouds
77,Sakakah,SA,2021-12-10 17:38:32,29.9697,40.2064,60.37,45,80,11.07,broken clouds
78,Jamestown,US,2021-12-10 17:36:32,42.097,-79.2353,49.3,65,75,5.57,broken clouds
79,Bella Vista,US,2021-12-10 17:41:25,36.4295,-94.2316,70.99,81,90,3.0,overcast clouds
80,Paamiut,GL,2021-12-10 17:41:25,61.994,-49.6678,20.34,83,100,8.68,overcast clouds
81,Upernavik,GL,2021-12-10 17:41:26,72.7868,-56.1549,0.39,86,84,6.53,broken clouds
82,Nouadhibou,MR,2021-12-10 17:41:19,20.931,-17.0347,76.98,33,17,12.66,few clouds
83,Ewa Beach,US,2021-12-10 17:38:37,21.3156,-158.0072,75.15,78,20,3.44,few clouds
84,Constitucion,CL,2021-12-10 17:39:14,-35.3333,-72.4167,64.24,75,53,12.3,broken clouds
85,Vaini,TO,2021-12-10 17:41:28,-21.2,-175.2,75.36,94,20,5.75,few clouds
86,Avarua,CK,2021-12-10 17:41:28,-21.2078,-159.775,73.45,100,86,1.14,overcast clouds
87,Chala,TZ,2021-12-10 17:41:22,-7.5833,31.2667,61.88,73,73,1.45,broken clouds
88,Sur,OM,2021-12-10 17:41:30,22.5667,59.5289,72.75,55,2,5.97,clear sky
89,Kaeo,NZ,2021-12-10 17:41:31,-35.1,173.7833,62.33,94,67,2.95,broken clouds
90,Kapaa,US,2021-12-10 17:41:31,22.0752,-159.319,75.52,78,75,1.01,light rain
91,Mar Del Plata,AR,2021-12-10 17:37:04,-38.0023,-57.5575,71.62,88,90,24.0,light rain
92,Butaritari,KI,2021-12-10 17:41:32,3.0707,172.7902,82.22,75,90,12.15,light rain
93,Saint-Augustin,CA,2021-12-10 17:42:33,51.226,-58.6502,19.0,44,0,12.57,clear sky
94,Kadoshkino,RU,2021-12-10 17:42:34,54.0257,44.4191,15.01,81,6,10.42,clear sky
95,Barceloneta,PR,2021-12-10 17:42:34,18.4505,-66.5385,87.62,77,16,17.49,few clouds
96,Okhotsk,RU,2021-12-10 17:42:35,59.3833,143.3,-12.05,85,1,9.4,clear sky
97,Alghero,IT,2021-12-10 17:42:36,40.5589,8.3181,55.49,62,20,14.97,few clouds
98,The Valley,AI,2021-12-10 17:42:36,18.217,-63.0578,85.86,65,40,17.27,scattered clouds
99,Haines Junction,CA,2021-12-10 17:42:37,60.7522,-137.5108,8.55,85,99,1.14,light snow
100,Ribeira Grande,PT,2021-12-10 17:42:37,38.5167,-28.7,64.8,88,40,9.22,scattered clouds
101,Maragogi,BR,2021-12-10 17:38:09,-9.0122,-35.2225,83.75,65,98,12.46,overcast clouds
102,Tolaga Bay,NZ,2021-12-10 17:42:39,-38.3667,178.3,64.6,76,89,3.76,overcast clouds
103,Praya,CV,2021-12-10 17:42:36,14.9215,-23.5087,75.74,64,53,20.71,broken clouds
104,Severo-Kurilsk,RU,2021-12-10 17:42:39,50.6789,156.125,32.31,83,11,2.55,few clouds
105,Aksarayskiy,RU,2021-12-10 17:42:40,46.7924,48.0119,35.55,78,100,12.77,overcast clouds
106,Hofn,IS,2021-12-10 17:38:08,64.2539,-15.2082,32.02,74,0,6.91,clear sky
107,Udachnyy,RU,2021-12-10 17:42:41,66.4167,112.4,-11.96,95,100,15.9,overcast clouds
108,Georgetown,MY,2021-12-10 17:40:52,5.4112,100.3354,79.9,88,20,1.01,few clouds
109,Mont-De-Marsan,FR,2021-12-10 17:42:42,44.0,-0.6667,51.44,94,90,6.91,overcast clouds
110,Shevchenkove,UA,2021-12-10 17:42:42,49.6959,37.1735,38.98,81,99,12.62,overcast clouds
111,Lasa,IT,2021-12-10 17:42:43,46.6166,10.7002,29.28,92,100,3.36,overcast clouds
112,Narsaq,GL,2021-12-10 17:42:43,60.9167,-46.05,34.02,61,100,10.49,overcast clouds
113,Norman Wells,CA,2021-12-10 17:42:44,65.282,-126.8329,-0.36,78,20,5.75,few clouds
114,Biltine,TD,2021-12-10 17:42:44,14.5333,20.9167,79.25,14,3,8.88,clear sky
115,Provideniya,RU,2021-12-10 17:42:45,64.3833,-173.3,-8.14,90,20,10.8,few clouds
116,Hasaki,JP,2021-12-10 17:42:45,35.7333,140.8333,36.0,71,16,8.97,few clouds
117,Puerto Ayora,EC,2021-12-10 17:42:46,-0.7393,-90.3518,76.96,90,89,5.01,overcast clouds
118,Muana,BR,2021-12-10 17:42:46,-1.5283,-49.2167,87.96,61,65,6.35,broken clouds
119,Touros,BR,2021-12-10 17:42:47,-5.1989,-35.4608,88.7,65,80,14.85,broken clouds
120,Slave Lake,CA,2021-12-10 17:42:48,55.2834,-114.769,13.98,85,1,3.44,light snow
121,Kattivakkam,IN,2021-12-10 17:42:48,13.2167,80.3167,81.07,85,7,9.4,clear sky
122,Mizdah,LY,2021-12-10 17:42:49,31.4451,12.9801,50.25,36,0,10.07,clear sky
123,Mustafabad,PK,2021-12-10 17:42:49,30.8922,73.4989,58.86,23,0,3.8,clear sky
124,Saskylakh,RU,2021-12-10 17:42:07,71.9167,114.0833,-11.63,97,100,8.5,overcast clouds
125,Guadalupe Y Calvo,MX,2021-12-10 17:42:50,26.1,-106.9667,55.22,50,1,15.01,clear sky
126,Labuhan,ID,2021-12-10 17:42:51,-6.8844,112.2051,78.4,86,100,7.78,overcast clouds
127,Port Elizabeth,ZA,2021-12-10 17:42:51,-33.918,25.5701,75.09,92,36,4.88,scattered clouds
128,Victoria,HK,2021-12-10 17:39:51,22.2855,114.1577,70.25,77,59,11.01,broken clouds
129,Qaanaaq,GL,2021-12-10 17:42:52,77.484,-69.3632,-0.06,76,95,6.22,overcast clouds
130,Gallup,US,2021-12-10 17:42:47,35.5281,-108.7426,36.36,80,90,5.99,snow
131,Hilo,US,2021-12-10 17:42:08,19.7297,-155.09,73.8,46,90,3.44,overcast clouds
132,San Policarpo,PH,2021-12-10 17:42:53,12.1791,125.5072,79.75,87,100,12.64,overcast clouds
133,Ottumwa,US,2021-12-10 17:41:33,41.02,-92.4113,44.83,75,90,18.41,overcast clouds
134,Doha,QA,2021-12-10 17:38:21,25.2867,51.5333,73.38,53,0,6.91,clear sky
135,Saint-Philippe,RE,2021-12-10 17:42:54,-21.3585,55.7679,78.39,73,80,11.39,broken clouds
136,Port Alfred,ZA,2021-12-10 17:42:55,-33.5906,26.891,73.56,87,50,14.23,scattered clouds
137,Beringovskiy,RU,2021-12-10 17:42:55,63.05,179.3167,-15.38,95,81,8.03,broken clouds
138,Seoul,KR,2021-12-10 17:39:01,37.5683,126.9778,40.44,93,40,2.3,fog
139,Isiro,CD,2021-12-10 17:42:56,2.7739,27.616,70.77,73,100,2.55,overcast clouds
140,Ancud,CL,2021-12-10 17:43:57,-41.8697,-73.8203,71.42,64,57,9.82,broken clouds
141,Pozo Colorado,PY,2021-12-10 17:43:58,-23.4923,-58.7972,105.39,11,74,4.5,broken clouds
142,Dingle,PH,2021-12-10 17:43:58,10.9995,122.6711,76.26,93,100,11.07,overcast clouds
143,Byron Bay,AU,2021-12-10 17:43:59,-28.65,153.6167,66.09,69,0,10.78,clear sky
144,Kasongo,CD,2021-12-10 17:44:00,-4.45,26.6667,72.82,89,96,1.9,light rain
145,Nalut,LY,2021-12-10 17:44:00,30.3333,10.85,50.05,36,0,7.4,clear sky
146,Ferme-Neuve,CA,2021-12-10 17:44:01,46.7001,-75.4493,22.78,89,100,5.97,light snow
147,Lithakia,GR,2021-12-10 17:44:02,37.7167,20.8333,57.58,71,40,9.22,scattered clouds
148,Thompson,CA,2021-12-10 17:43:36,55.7435,-97.8558,8.76,78,75,3.44,light snow
149,Chara,RU,2021-12-10 17:44:02,56.9064,118.2631,-6.23,93,100,1.03,overcast clouds
150,Port Lincoln,AU,2021-12-10 17:38:11,-34.7333,135.8667,56.71,81,68,12.39,broken clouds
151,Tiksi,RU,2021-12-10 17:35:32,71.6872,128.8694,-4.65,93,100,10.51,overcast clouds
152,Talnakh,RU,2021-12-10 17:44:03,69.4865,88.3972,-28.1,98,83,8.23,broken clouds
153,Chokurdakh,RU,2021-12-10 17:44:04,70.6333,147.9167,-47.34,100,67,3.27,broken clouds
154,Vila Velha,BR,2021-12-10 17:38:03,-20.3297,-40.2925,80.55,80,40,3.0,scattered clouds
155,Ponta Do Sol,PT,2021-12-10 17:44:05,32.6667,-17.1,66.13,65,18,9.35,few clouds
156,East London,ZA,2021-12-10 17:38:12,-33.0153,27.9116,77.94,73,0,11.5,light rain
157,Nueva Gerona,CU,2021-12-10 17:40:08,21.8833,-82.8,81.16,64,24,15.48,few clouds
158,Manchar,IN,2021-12-10 17:44:06,19.0,73.9333,70.41,55,10,6.2,clear sky
159,Monroe,US,2021-12-10 17:42:53,43.1501,-77.6831,47.86,66,75,12.66,broken clouds
160,Margate,GB,2021-12-10 17:44:06,51.3813,1.3862,43.3,78,74,8.99,broken clouds
161,Padang,ID,2021-12-10 17:34:13,-0.9492,100.3543,78.85,88,99,2.91,overcast clouds
162,Lavrentiya,RU,2021-12-10 17:44:07,65.5833,-171.0,-9.89,83,95,9.64,overcast clouds
163,Esperance,AU,2021-12-10 17:36:52,-33.8667,121.9,58.84,83,2,12.75,clear sky
