City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
280,Madang,PG,77.4,light rain,-5.2246,145.7966,Comfort Inn Hotel
281,Atar,MR,77.79,scattered clouds,20.5169,-13.0499,Oumou Elghoura
288,Ambon,ID,81.12,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
289,Rio Grande,BR,77.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
294,Celestun,MX,84.7,few clouds,20.8667,-90.4,Posada Lilia
295,Balikpapan,ID,76.41,moderate rain,-1.2675,116.8289,ibis Balikpapan
296,Meulaboh,ID,77.56,overcast clouds,4.1363,96.1285,Kost Pria
299,Itarema,BR,86.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
300,Vao,NC,78.12,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
301,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
302,Belmonte,BR,77.0,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
303,Santa Maria,BR,85.3,clear sky,-29.6842,-53.8069,Hotel Morotin
312,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
322,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
326,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
330,Pemangkat,ID,77.05,overcast clouds,1.1667,108.9667,Ramah Kost KITA
331,Axim,GH,81.19,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
333,Kavieng,PG,82.29,moderate rain,-2.5744,150.7967,Nusa Island Retreat
338,Umm Lajj,SA,77.79,broken clouds,25.0213,37.2685,Moon light Furnished Units
343,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
348,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
349,Paragominas,BR,85.75,overcast clouds,-2.9667,-47.4833,INOVA
360,Rocha,UY,76.82,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
365,Faanui,PF,81.25,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
366,Gusau,NG,78.51,scattered clouds,12.1628,6.6614,GUEST INN
367,Barra,BR,86.34,broken clouds,-11.0894,-43.1417,Motel Albatroz
373,Luziania,BR,83.98,overcast clouds,-16.2525,-47.9503,HOTEL SARON
379,Harper,LR,81.7,broken clouds,4.375,-7.7169,Screensaver
389,Miramar,US,85.01,scattered clouds,25.9873,-80.2323,Casa Miramar
393,Beira,MZ,82.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
396,Davila,PH,76.12,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
400,Kendari,ID,76.44,overcast clouds,-3.945,122.4989,Hotel Wixel
402,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
403,Puerto Ayacucho,VE,89.38,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
404,Bandarbeyla,SO,76.98,few clouds,9.4942,50.8122,JABIR HOTEL
410,Isla Mujeres,MX,86.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
